;index;y;x;osmid;ref;highway;lon;lat;geometry;loc_x;loc_y;loc;stop_type_index
59;2205915122;-4292228.476643919;970314.9631289107;2205915122; 1 6 ;tram_stop;144.968427;-37.7921597;POINT (970314.9631289107 -4292228.476643919);2200.0718538723886;993.5745531246066;{2200.0718538723886,993.5745531246066};0
60;2205915123;-4292279.013214954;970300.1558769598;2205915123; 1 6 ;tram_stop;144.9683102;-37.7926223;POINT (970300.1558769598 -4292279.013214954);2185.26460192143;1044.1111241597682;{2185.26460192143,1044.1111241597682};0
61;2205917370;-4291703.1687975805;970431.1122543733;2205917370; 1 6 ;tram_stop;144.9692163;-37.7873806;POINT (970431.1122543733 -4291703.168797581);2316.220979334903;468.26670678611845;{2316.220979334903,468.26670678611845};0
62;2205917378;-4291679.598292062;970439.9860982043;2205917378; 1 6 ;tram_stop;144.9692929;-37.7871633;POINT (970439.9860982043 -4291679.598292062);2325.094823165913;444.6962012676522;{2325.094823165913,444.6962012676522};0
63;2205927402;-4291943.640068702;970376.0849494345;2205927402; 1 6 ;tram_stop;144.9688341;-37.7895698;POINT (970376.0849494345 -4291943.640068702);2261.1936743961414;708.7379779079929;{2261.1936743961414,708.7379779079929};0
64;2205927403;-4291913.057079892;970386.5147252254;2205927403; 1 6 ;tram_stop;144.9689213;-37.7892887;POINT (970386.5147252254 -4291913.057079892);2271.623450187035;678.1549890972674;{2271.623450187035,678.1549890972674};0
65;2207661036;-4293193.812062305;968199.8805801544;2207661036; 57 ;tram_stop;144.945587;-37.8024252;POINT (968199.8805801544 -4293193.812062305);84.98930511600338;1958.9099715109915;{84.98930511600338,1958.9099715109915};0
66;2207974388;-4293217.316731805;968209.5991552769;2207974388; 57 ;tram_stop;144.9457194;-37.8026274;POINT (968209.5991552769 -4293217.316731805);94.70788023853675;1982.414641010575;{94.70788023853675,1982.414641010575};0
67;2207974390;-4293289.643029874;968532.6468594017;2207974390; 57 ;tram_stop;144.9494241;-37.8030211;POINT (968532.6468594017 -4293289.643029874);417.75558436335996;2054.740939079784;{417.75558436335996,2054.740939079784};0
68;2208005953;-4292603.458343024;968760.9885743686;2208005953; 58 59 ;tram_stop;144.9513182;-37.796719;POINT (968760.9885743686 -4292603.458343024);646.0972993302858;1368.5562522299588;{646.0972993302858,1368.5562522299588};0
69;2208009242;-4292239.5633179555;968425.6056859387;2208009242; 57 ;tram_stop;144.9471886;-37.7937327;POINT (968425.6056859387 -4292239.563317955);310.71441090037115;1004.6612271610647;{310.71441090037115,1004.6612271610647};0
70;2208013594;-4292372.708933215;968389.3317346516;2208013594; 57 ;tram_stop;144.9469114;-37.7949493;POINT (968389.3317346516 -4292372.708933215);274.44045961322263;1137.8068424202502;{274.44045961322263,1137.8068424202502};0
71;2208013599;-4292402.982412107;968379.1838949008;2208013599; 57 ;tram_stop;144.946827;-37.7952274;POINT (968379.1838949008 -4292402.982412107);264.2926198624773;1168.080321312882;{264.2926198624773,1168.080321312882};0
72;2208013603;-4292530.087540214;968353.0227041786;2208013603; 57 ;tram_stop;144.9466576;-37.7963822;POINT (968353.0227041786 -4292530.087540214);238.1314291402232;1295.1854494195431;{238.1314291402232,1295.1854494195431};0
73;2208013608;-4292564.304655802;968341.9705220268;2208013608; 57 ;tram_stop;144.9465669;-37.7966962;POINT (968341.9705220268 -4292564.304655802);227.0792469884036;1329.4025650080293;{227.0792469884036,1329.4025650080293};0
74;2208028871;-4293270.786624821;968439.0150397936;2208028871; 57 ;tram_stop;144.9483524;-37.8029258;POINT (968439.0150397936 -4293270.786624821);324.1237647552043;2035.884534026496;{324.1237647552043,2035.884534026496};0
75;2208028874;-4293258.921867035;968403.8760854221;2208028874; 57 ;tram_stop;144.9479455;-37.8028473;POINT (968403.8760854221 -4293258.921867035);288.9848103837576;2024.0197762409225;{288.9848103837576,2024.0197762409225};0
76;2208037336;-4293576.7524498375;968736.6603790291;2208037336; 57 ;tram_stop;144.952001;-37.8054244;POINT (968736.6603790291 -4293576.752449838);621.7691039907513;2341.8503590431064;{621.7691039907513,2341.8503590431064};0
77;2208037340;-4293588.51629491;968772.5537112817;2208037340; 57 ;tram_stop;144.9524163;-37.8055014;POINT (968772.5537112817 -4293588.51629491);657.6624362433795;2353.6142041152343;{657.6624362433795,2353.6142041152343};0
78;2209663379;-4293002.239768915;969277.525830252;2209663379; 19 ;tram_stop;144.9575199;-37.7998752;POINT (969277.525830252 -4293002.239768915);1162.634555213619;1767.3376781204715;{1162.634555213619,1767.3376781204715};0
79;2209663380;-4292967.684332137;969287.267885639;2209663380; 19 ;tram_stop;144.9575955;-37.7995592;POINT (969287.267885639 -4292967.684332137);1172.3766106006224;1732.7822413425893;{1172.3766106006224,1732.7822413425893};0
80;2209663663;-4292803.420344832;969317.8706133643;2209663663; 19 ;tram_stop;144.9577782;-37.7980693;POINT (969317.8706133643 -4292803.420344832);1202.9793383259093;1568.5182540379465;{1202.9793383259093,1568.5182540379465};0
81;2209663664;-4292828.954124481;969309.9039253817;2209663664; 19 ;tram_stop;144.9577137;-37.7983034;POINT (969309.9039253817 -4292828.954124481);1195.0126503433567;1594.0520336870104;{1195.0126503433567,1594.0520336870104};0
82;2209664918;-4292535.612430415;969364.4604317289;2209664918; 19 ;tram_stop;144.9580389;-37.7956428;POINT (969364.4604317289 -4292535.612430415);1249.5691566905007;1300.7103396207094;{1249.5691566905007,1300.7103396207094};0
83;2209664919;-4292521.123274874;969370.4660289714;2209664919; 19 ;tram_stop;144.9580922;-37.7955088;POINT (969370.4660289714 -4292521.123274874);1255.574753933004;1286.2211840795353;{1255.574753933004,1286.2211840795353};0
84;2209665258;-4292180.197735082;969433.9765446257;2209665258; 19 ;tram_stop;144.9584713;-37.7924165;POINT (969433.9765446257 -4292180.197735082);1319.0852695873473;945.2956442879513;{1319.0852695873473,945.2956442879513};0
85;2209665265;-4292212.162212826;969424.7270065584;2209665265; 19 ;tram_stop;144.9583987;-37.792709;POINT (969424.7270065584 -4292212.162212826);1309.8357315200847;977.2601220319048;{1309.8357315200847,977.2601220319048};0
86;2209665394;-4291882.725912038;969489.4044523592;2209665394; 19 ;tram_stop;144.9588022;-37.7897183;POINT (969489.4044523592 -4291882.725912038);1374.5131773208268;647.82382124383;{1374.5131773208268,647.82382124383};0
87;2209665395;-4291918.41521374;969479.4466760657;2209665395; 19 ;tram_stop;144.9587253;-37.7900446;POINT (969479.4466760657 -4291918.41521374);1364.555401027319;683.5131229460239;{1364.555401027319,683.5131229460239};0
88;2209665985;-4291346.123017938;969586.0677239207;2209665985; 19 ;tram_stop;144.9593617;-37.7848536;POINT (969586.0677239207 -4291346.123017938);1471.1764488823246;111.22092714346945;{1471.1764488823246,111.22092714346945};0
